ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta (Instrucciones de cuidado),Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Inventario (cantidad),Inventario (cantidad),Peso (kg),Medidas (cm), (cm), (cm),Precio rebajado,Precio normal,Categorías (Colecciones),Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/14B2NVN6TtdWEzAId9Mxd6McPUAhUqZ-o,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Nombre del atributo 2,Valor(es) del atributo color,Atributo visible talla,Atributo global talla,Atributo por defecto talla
610255,variable,,,BLUSA ELEGANCE - M,1,1,visible,,,taxable,parent,1,0,3,-,0.25,Talla M: Busto 94 / Cintura 88 ,,,-,479000,Tékapo,,,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,M,Color,Blanco - Rosa,,1,M Blanco                                            M Rosa
610255,variable,,,BLUSA ELEGANCE - L,1,1,visible,,,taxable,parent,1,0,4,-,0.25,Talla L: Busto 98 / Cintura 92 ,,,-,479000,Tékapo,,,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,L,Color,Blanco - Rosa,,1,L Blanco                                              L Rosa
610255,variable,,,BLUSA ELEGANCE - XL,1,1,visible,,,taxable,parent,1,2,2,-,0.25,Talla XL: Busto 104 / Cintura 98   ,,,-,479000,Tékapo,,,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,XL,Color,Blanco - Rosa,,1,XLBlanco                                               XLRosa
610255,variable,,,BLUSA ELEGANCE - XXL,1,1,visible,,,taxable,parent,1,1,2,-,0.25,Talla XXL: Busto 110 / Cintura 104,,,-,479000,Tékapo,,,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,XXL,Color,Blanco - Rosa,,1,XL Blanco                      XL Rosa
610274,variable,,,BLUSA CON LAZO EN CUELLO,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Blusa sin mangas, con corte recto y cuello de corbata con detalle de lazo. Frente con detalle de triple volante. Ruedo con aberturas laterales. Frente abotonado.",taxable,parent,1,(marfíl),,,0.20,,,,-,349000,Tékapo,,Envío Growbeats,blusa con lazo en cuello.tif                                                      blusa con lazo en cuello2.tif                                                                              blusa con lazo en cuello3.tif,,Talla,"S, M, L, XL",Color,Marfíl,1,1,
610274,variable,,,BLUSA CON LAZO EN CUELLO - S,1,1,visible,,,taxable,parent,1,3,-,-,0.20,Talla S: Busto 90 / Cintura 80 ,,,-,349000,Tékapo,,,blusa con lazo en cuello.tif                                                      blusa con lazo en cuello2.tif                                                                              blusa con lazo en cuello3.tif,,Talla,S,Color,Marfíl,,1,S Marfíl
610274,variable,,,BLUSA CON LAZO EN CUELLO - M,1,1,visible,,,taxable,parent,1,4,-,-,0.20,Talla M: Busto 94 / Cintura 84 ,,,-,349000,Tékapo,,,blusa con lazo en cuello.tif                                                      blusa con lazo en cuello2.tif                                                                              blusa con lazo en cuello3.tif,,Talla,M,Color,Marfíl,,1,M Marfíl
610274,variable,,,BLUSA CON LAZO EN CUELLO - L,1,1,visible,,,taxable,parent,1,1,-,-,0.20,Talla L: Busto 98 / Cintura 88,,,-,349000,Tékapo,,,blusa con lazo en cuello.tif                                                      blusa con lazo en cuello2.tif                                                                              blusa con lazo en cuello3.tif,,Talla,L,Color,Marfíl,,1,L Marfíl
610274,variable,,,BLUSA CON LAZO EN CUELLO - XL,1,1,visible,,,taxable,parent,1,2,-,-,0.20,Talla XL: Busto 104 / Cintura 94,,,-,349000,Tékapo,,,blusa con lazo en cuello.tif                                                      blusa con lazo en cuello2.tif                                                                              blusa con lazo en cuello3.tif,,Talla,XL,Color,Marfíl,,1,XLMarfíl
621652,variable,,,FALDA DE NESGAS EN DENIM,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.",Falda acampanada de talle alto en Denim. Detalle de nesgas. Cierre mediante cremallera semi-invisible en costado. Incluye cinturón.,taxable,parent,1,(denim),-,-,0.50,,,,-,405000,Tékapo,,Envío Growbeats,falda de nesgas en denim.tif                                                      falda de nesgas en denim2.tif,,Talla,"XL, XXL",Color,Denim,1,1,
621652,variable,,,FALDA DE NESGAS EN DENIM - L,1,1,visible,,,taxable,parent,1,1,-,-,0.50,Talla L: Cintura 86/ Largo 70    ,,,-,405000,Tékapo,,,falda de nesgas en denim.tif                                                      falda de nesgas en denim2.tif,,Talla,L,Color,Denim,,1,L Denim
621652,variable,,,FALDA DE NESGAS EN DENIM - XL,1,1,visible,,,taxable,parent,1,1,-,-,0.50,Talla XL: Cintura 90 / Largo 70    ,,,-,405000,Tékapo,,,falda de nesgas en denim.tif                                                      falda de nesgas en denim2.tif,,Talla,XL,Color,Denim,,1,XL Denim
